,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
HON,https://www.sec.gov/Archives/edgar/data/773840/000093041319000366/c92779_10k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318000292/c89913_10k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041317000391/c86783_10k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041316005457/c83288_10k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041315000621/c79276_10k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041314000634/c75936_10k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041313000907/c72130_10-k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/c68029_10k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041311000961/c63936_10-k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041310000784/c60039_10k.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041309000801/c56028_10k.htm
EFX,https://www.sec.gov/Archives/edgar/data/33185/000003318519000007/efx10k20181231.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318518000011/efx10k20171231.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318517000008/efx10k20161231.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318516000037/efx10k20151231.htm,https://www.sec.gov/Archives/edgar/data/33185/000162828015001024/efx10k20141231.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420414012238/v368092_10k.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420413010696/v332542_10k.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420412010639/v244511_10k.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420411010496/v209688_10k.htm,https://www.sec.gov/Archives/edgar/data/33185/000104746910001159/a2196590z10-k.htm,https://www.sec.gov/Archives/edgar/data/33185/000104746909001891/a2190893z10-k.htm
GE,https://www.sec.gov/Archives/edgar/data/40545/000004054519000014/ge10-k2018.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054518000014/ge10-k2017.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054517000010/ge10k2016.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054516000145/ge10k2015.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054515000030/ge10k2014.htm,https://www.sec.gov/Archives/edgar/data/40545/000004055414000023/geform10k2013.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054513000036/geform10k2012.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054512000016/ge10k.htm,https://www.sec.gov/Archives/edgar/data/40545/000119312511047479/d10k.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054510000010/frm10k.htm,https://www.sec.gov/Archives/edgar/data/40545/000004054509000012/frm10k.htm
BA,https://www.sec.gov/ix?doc=/Archives/edgar/data/12927/000001292719000010/a201812dec3110k.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292718000007/a201712dec3110k.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292717000006/a201612dec3110k.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292716000099/a201512dec3110k.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292715000011/a201412dec3110k.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292714000004/a201312dec3110k.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292713000014/a201212dec3110k.htm,https://www.sec.gov/Archives/edgar/data/12927/000119312512048565/d255574d10k.htm,https://www.sec.gov/Archives/edgar/data/12927/000119312511028490/d10k.htm,https://www.sec.gov/Archives/edgar/data/12927/000119312510024406/d10k.htm,https://www.sec.gov/Archives/edgar/data/12927/000119312509022654/d10k.htm
UPS,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/ups-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000009/ups-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/ups-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072716000053/ups-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072715000008/ups-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072714000009/ups-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/ups-12312012x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/d274494d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312511049356/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312510042908/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312509040973/d10k.htm
DE,https://www.sec.gov/ix?doc=/Archives/edgar/data/315189/000155837019011614/de-20191103x10k.htm,https://www.sec.gov/Archives/edgar/data/315189/000104746918007694/a2236950z10-k.htm,https://www.sec.gov/Archives/edgar/data/315189/000104746917007719/a2233505z10-k.htm,https://www.sec.gov/Archives/edgar/data/315189/000104746916017244/a2230400z10-k.htm,https://www.sec.gov/Archives/edgar/data/315189/000104746915009300/a2226814z10-k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465914087794/a14-20671_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465913090354/a13-17985_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465912084558/a12-16222_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465911070023/a11-24734_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465910063219/a10-17745_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465909070344/a09-32005_110k.htm
ADP,https://www.sec.gov/Archives/edgar/data/8670/000000867019000021/q4fy1910k.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867018000011/q4fy1810k.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867017000010/q4fy1710k.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867016000053/q4fy1610kinq4fy16.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867015000021/q4fy1510k.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867014000015/q4fy1410k.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/q4fy1310-k.htm,https://www.sec.gov/Archives/edgar/data/8670/000120677412003634/adp_10k.htm,https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/adp_10k.htm,https://www.sec.gov/Archives/edgar/data/8670/000120677410001881/adp_10k.htm,https://www.sec.gov/Archives/edgar/data/8670/000120677409001642/adp_10k.htm
LMT,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/lmtq4201810k.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000009/lmtq4201710k.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312517036192/d290249d10k.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312516476010/d62685d10k.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312515038681/d808572d10k.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312514055034/d621068d10k.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312513082873/d428940d10k.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312512074929/d221578d10k.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312511045739/d10k.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312510040520/d10k.htm,https://www.sec.gov/Archives/edgar/data/936468/000119312509038670/d10k.htm
ITW,https://www.sec.gov/Archives/edgar/data/49826/000004982619000021/itw-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982618000017/itw-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982617000022/itw-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982616000151/itw-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982615000016/itw-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982614000022/itw-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982613000007/itw-20121231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000119312512067004/d259927d10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000095012311019620/c61393e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095012310017817/c55376e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013709001368/c48856e10vk.htm
CSX,https://www.sec.gov/Archives/edgar/data/277948/000027794819000011/csx-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794818000009/csx-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794817000009/csx-12302016x10k.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794816000046/csx-12252015x10k.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794815000010/csx-12262014x10k.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794814000011/csx-12272013x10k.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794813000008/csx-12282012x10k.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794812000014/csx-12302011x10k.htm,https://www.sec.gov/Archives/edgar/data/277948/000114036111010655/document_10k.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794810000013/document_10k.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794809000042/document_10k.htm
FDX,https://www.sec.gov/Archives/edgar/data/1048911/000156459019025065/fdx-10k_20190531.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459018016877/fdx-10k_20180531.htm,https://www.sec.gov/Archives/edgar/data/1048911/000095012317006152/fdx-10k_20170531.htm,https://www.sec.gov/Archives/edgar/data/1048911/000119312516650267/d207174d10k.htm,https://www.sec.gov/Archives/edgar/data/1048911/000119312515252494/d48165d10k.htm,https://www.sec.gov/Archives/edgar/data/1048911/000119312514267851/d752614d10k.htm,https://www.sec.gov/Archives/edgar/data/1048911/000119312513290858/d563720d10k.htm,https://www.sec.gov/Archives/edgar/data/1048911/000119312512303558/d375407d10k.htm,https://www.sec.gov/Archives/edgar/data/1048911/000095012311065246/c19556e10vk.htm,https://www.sec.gov/Archives/edgar/data/1048911/000095012310065730/c03116e10vk.htm,https://www.sec.gov/Archives/edgar/data/1048911/000095012309022417/c87681e10vk.htm
NOC,https://www.sec.gov/Archives/edgar/data/1133421/000113342119000007/noc-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342118000005/noc-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342117000008/noc-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342116000065/noc-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342115000008/noc-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342114000006/noc-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1133421/000113342113000007/noc-12312012x10k.htm,https://www.sec.gov/Archives/edgar/data/1133421/000119312512045323/d250683d10k.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012311010835/v57435e10vk.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095012310010126/v54508e10vk.htm,https://www.sec.gov/Archives/edgar/data/1133421/000095013409002265/v51127e10vk.htm
